,tmax,tmin,rain,tmax_tomorrow
1971-01-10,50.0,46.0,0.04,51.0
1971-01-11,51.0,47.0,0.22,49.0
1971-01-12,49.0,44.0,0.4,51.0
1971-01-13,51.0,44.0,0.25,55.0
1971-01-14,55.0,47.0,0.07,54.0
1971-01-15,54.0,49.0,0.05,57.0
1971-01-16,57.0,51.0,0.03,62.0
1971-01-17,62.0,51.0,0.0,64.0
1971-01-18,64.0,52.0,0.01,57.0
1971-01-19,57.0,50.0,0.01,58.0
1971-01-20,58.0,48.0,0.0,58.0
1971-01-21,58.0,40.0,0.0,55.0
1971-01-22,55.0,39.0,0.0,58.0
1971-01-23,58.0,40.0,0.0,54.0
1971-01-24,54.0,42.0,0.0,51.0
1971-01-25,51.0,41.0,0.0,62.0
1971-01-26,62.0,42.0,0.0,58.0
1971-01-27,58.0,43.0,0.0,58.0
1971-01-28,58.0,42.0,0.0,52.0
1971-01-29,52.0,40.0,0.0,51.0
1971-01-30,51.0,40.0,0.0,49.0
1971-01-31,49.0,39.0,0.0,48.0
1971-02-01,48.0,41.0,0.0,53.0
1971-02-02,53.0,43.0,0.0,58.0
1971-02-03,58.0,37.0,0.0,53.0
1971-02-04,53.0,40.0,0.0,57.0
1971-02-05,57.0,44.0,0.0,55.0
1971-02-06,55.0,45.0,0.0,54.0
1971-02-07,54.0,46.0,0.0,53.0
1971-02-08,53.0,47.0,0.0,58.0
1971-02-09,58.0,45.0,0.0,62.0
1971-02-10,62.0,45.0,0.0,74.0
1971-02-11,74.0,49.0,0.0,65.0
1971-02-12,65.0,49.0,0.0,66.0
1971-02-13,66.0,47.0,0.0,55.0
1971-02-14,55.0,49.0,0.0,58.0
1971-02-15,58.0,47.0,0.0,57.0
1971-02-16,57.0,44.0,0.07,55.0
1971-02-17,55.0,49.0,0.0,56.0
1971-02-18,56.0,43.0,0.4,55.0
1971-02-19,55.0,45.0,0.0,58.0
1971-02-20,58.0,43.0,0.0,55.0
1971-02-21,55.0,42.0,0.0,56.0
1971-02-22,56.0,43.0,0.0,57.0
1971-02-23,57.0,42.0,0.0,56.0
1971-02-24,56.0,44.0,0.0,54.0
1971-02-25,54.0,43.0,0.0,57.0
1971-02-26,57.0,37.0,0.0,51.0
1971-02-27,51.0,43.0,0.1,52.0
1971-02-28,52.0,43.0,0.0,54.0
1971-03-01,54.0,40.0,0.0,54.0
1971-03-02,54.0,37.0,0.0,56.0
1971-03-03,56.0,47.0,0.01,56.0
1971-03-04,56.0,45.0,0.0,55.0
1971-03-05,55.0,38.0,0.0,58.0
1971-03-06,58.0,38.0,0.0,54.0
1971-03-07,54.0,40.0,0.0,55.0
1971-03-08,55.0,48.0,0.0,51.0
1971-03-09,51.0,48.0,0.0,56.0
1971-03-10,56.0,45.0,0.0,59.0
1971-03-11,59.0,52.0,0.0,57.0
1971-03-12,57.0,51.0,0.51,56.0
1971-03-13,56.0,49.0,0.0,52.0
1971-03-14,52.0,45.0,0.51,59.0
1971-03-15,59.0,46.0,0.0,60.0
1971-03-16,60.0,44.0,0.01,64.0
1971-03-17,64.0,45.0,0.0,69.0
1971-03-18,69.0,45.0,0.0,69.0
1971-03-19,69.0,50.0,0.0,68.0
1971-03-20,68.0,45.0,0.0,59.0
1971-03-21,59.0,47.0,0.0,61.0
1971-03-22,61.0,49.0,0.0,61.0
1971-03-23,61.0,54.0,0.22,58.0
1971-03-24,58.0,53.0,0.0,61.0
1971-03-25,61.0,54.0,0.48,60.0
1971-03-26,60.0,52.0,0.84,60.0
1971-03-27,60.0,47.0,0.01,65.0
1971-03-28,65.0,47.0,0.0,69.0
1971-03-29,69.0,50.0,0.0,59.0
1971-03-30,59.0,48.0,0.0,62.0
1971-03-31,62.0,42.0,0.0,66.0
1971-04-01,66.0,42.0,0.0,64.0
1971-04-02,64.0,44.0,0.0,66.0
1971-04-03,66.0,49.0,0.0,74.0
1971-04-04,74.0,46.0,0.0,59.0
1971-04-05,59.0,49.0,0.0,58.0
1971-04-06,58.0,51.0,0.03,57.0
1971-04-07,57.0,48.0,0.0,60.0
1971-04-08,60.0,43.0,0.0,63.0
1971-04-09,63.0,50.0,0.09,60.0
1971-04-10,60.0,47.0,0.02,62.0
1971-04-11,62.0,45.0,0.0,66.0
1971-04-12,66.0,48.0,0.0,62.0
1971-04-13,62.0,52.0,0.26,64.0
1971-04-14,64.0,53.0,0.0,61.0
1971-04-15,61.0,51.0,0.0,58.0
1971-04-16,58.0,48.0,0.09,56.0
1971-04-17,56.0,45.0,0.11,60.0
1971-04-18,60.0,47.0,0.0,56.0
1971-04-19,56.0,47.0,0.0,57.0
1971-04-20,57.0,47.0,0.03,55.0
1971-04-21,55.0,41.0,0.0,60.0
1971-04-22,60.0,47.0,0.0,60.0
1971-04-23,60.0,49.0,0.0,59.0
1971-04-24,59.0,43.0,0.0,62.0
1971-04-25,62.0,46.0,0.0,61.0
1971-04-26,61.0,51.0,0.0,58.0
1971-04-27,58.0,50.0,0.0,55.0
1971-04-28,55.0,50.0,0.0,55.0
1971-04-29,55.0,49.0,0.0,60.0
1971-04-30,60.0,48.0,0.0,61.0
1971-05-01,61.0,52.0,0.04,64.0
1971-05-02,64.0,50.0,0.05,58.0
1971-05-03,58.0,48.0,0.0,60.0
1971-05-04,60.0,52.0,0.01,58.0
1971-05-05,58.0,53.0,0.0,61.0
1971-05-06,61.0,50.0,0.0,61.0
1971-05-07,61.0,54.0,0.0,63.0
1971-05-08,63.0,53.0,0.0,66.0
1971-05-09,66.0,55.0,0.0,61.0
1971-05-10,61.0,53.0,0.0,59.0
1971-05-11,59.0,51.0,0.0,61.0
1971-05-12,61.0,52.0,0.0,62.0
1971-05-13,62.0,54.0,0.01,67.0
1971-05-14,67.0,51.0,0.0,64.0
1971-05-15,64.0,52.0,0.0,63.0
1971-05-16,63.0,48.0,0.0,71.0
1971-05-17,71.0,50.0,0.0,68.0
1971-05-18,68.0,50.0,0.0,66.0
1971-05-19,66.0,51.0,0.0,62.0
1971-05-20,62.0,50.0,0.0,66.0
1971-05-21,66.0,48.0,0.0,69.0
1971-05-22,69.0,50.0,0.0,62.0
1971-05-23,62.0,51.0,0.0,62.0
1971-05-24,62.0,52.0,0.0,63.0
1971-05-25,63.0,51.0,0.0,61.0
1971-05-26,61.0,52.0,0.0,58.0
1971-05-27,58.0,52.0,0.06,64.0
1971-05-28,64.0,54.0,0.0,62.0
1971-05-29,62.0,52.0,0.0,61.0
1971-05-30,61.0,51.0,0.0,58.0
1971-05-31,58.0,47.0,0.0,58.0
1971-06-01,58.0,50.0,0.0,61.0
1971-06-02,61.0,50.0,0.0,57.0
1971-06-03,57.0,52.0,0.0,62.0
1971-06-04,62.0,51.0,0.0,65.0
1971-06-05,65.0,53.0,0.0,64.0
1971-06-06,64.0,52.0,0.0,61.0
1971-06-07,61.0,52.0,0.0,60.0
1971-06-08,60.0,53.0,0.0,62.0
1971-06-09,62.0,53.0,0.0,63.0
1971-06-10,63.0,54.0,0.0,65.0
1971-06-11,65.0,52.0,0.0,62.0
1971-06-12,62.0,53.0,0.0,67.0
1971-06-13,67.0,54.0,0.0,73.0
1971-06-14,73.0,53.0,0.0,80.0
1971-06-15,80.0,56.0,0.0,81.0
1971-06-16,81.0,57.0,0.0,77.0
1971-06-17,77.0,56.0,0.0,70.0
1971-06-18,70.0,57.0,0.0,71.0
1971-06-19,71.0,58.0,0.0,69.0
1971-06-20,69.0,56.0,0.0,70.0
1971-06-21,70.0,55.0,0.0,66.0
1971-06-22,66.0,56.0,0.0,66.0
1971-06-23,66.0,56.0,0.0,65.0
1971-06-24,65.0,54.0,0.0,69.0
1971-06-25,69.0,57.0,0.0,67.0
1971-06-26,67.0,59.0,0.0,66.0
1971-06-27,66.0,55.0,0.0,67.0
1971-06-28,67.0,53.0,0.0,70.0
1971-06-29,70.0,55.0,0.0,67.0
1971-06-30,67.0,55.0,0.0,68.0
1971-07-01,68.0,55.0,0.0,63.0
1971-07-02,63.0,55.0,0.0,65.0
1971-07-03,65.0,54.0,0.0,68.0
1971-07-04,68.0,54.0,0.0,70.0
1971-07-05,70.0,56.0,0.0,68.0
1971-07-06,68.0,55.0,0.0,63.0
1971-07-07,63.0,55.0,0.0,68.0
1971-07-08,68.0,55.0,0.0,67.0
1971-07-09,67.0,57.0,0.0,71.0
1971-07-10,71.0,53.0,0.0,73.0
1971-07-11,73.0,55.0,0.0,76.0
1971-07-12,76.0,56.0,0.0,75.0
1971-07-13,75.0,56.0,0.0,70.0
1971-07-14,70.0,55.0,0.0,68.0
1971-07-15,68.0,54.0,0.0,67.0
1971-07-16,67.0,54.0,0.0,71.0
1971-07-17,71.0,57.0,0.0,77.0
1971-07-18,77.0,60.0,0.0,77.0
1971-07-19,77.0,59.0,0.0,68.0
1971-07-20,68.0,57.0,0.0,69.0
1971-07-21,69.0,58.0,0.0,71.0
1971-07-22,71.0,57.0,0.0,63.0
1971-07-23,63.0,56.0,0.0,62.0
1971-07-24,62.0,55.0,0.0,67.0
1971-07-25,67.0,55.0,0.0,63.0
1971-07-26,63.0,55.0,0.0,64.0
1971-07-27,64.0,55.0,0.0,63.0
1971-07-28,63.0,55.0,0.0,62.0
1971-07-29,62.0,57.0,0.0,68.0
1971-07-30,68.0,56.0,0.0,66.0
1971-07-31,66.0,58.0,0.0,76.0
1971-08-01,76.0,57.0,0.0,67.0
1971-08-02,67.0,58.0,0.0,65.0
1971-08-03,65.0,57.0,0.0,71.0
1971-08-04,71.0,57.0,0.0,70.0
1971-08-05,70.0,57.0,0.0,76.0
1971-08-06,76.0,59.0,0.0,74.0
1971-08-07,74.0,57.0,0.0,75.0
1971-08-08,75.0,62.0,0.0,72.0
1971-08-09,72.0,60.0,0.0,74.0
1971-08-10,74.0,60.0,0.0,73.0
1971-08-11,73.0,59.0,0.0,68.0
1971-08-12,68.0,59.0,0.0,70.0
1971-08-13,70.0,58.0,0.0,72.0
1971-08-14,72.0,59.0,0.0,69.0
1971-08-15,69.0,57.0,0.0,73.0
1971-08-16,73.0,58.0,0.0,67.0
1971-08-17,67.0,57.0,0.0,73.0
1971-08-18,73.0,57.0,0.0,70.0
1971-08-19,70.0,57.0,0.0,70.0
1971-08-20,70.0,58.0,0.0,71.0
1971-08-21,71.0,62.0,0.0,72.0
1971-08-22,72.0,61.0,0.0,83.0
1971-08-23,83.0,57.0,0.0,70.0
1971-08-24,70.0,60.0,0.0,72.0
1971-08-25,72.0,60.0,0.0,71.0
1971-08-26,71.0,60.0,0.0,70.0
1971-08-27,70.0,61.0,0.0,71.0
1971-08-28,71.0,60.0,0.0,70.0
1971-08-29,70.0,60.0,0.0,75.0
